epoch,accuracy,loss,val_accuracy,val_loss
0,0.38876232504844666,1.081664800643921,0.5580865740776062,0.9064679145812988
1,0.618830680847168,0.8147677779197693,0.6628701686859131,0.699495792388916
2,0.7479119300842285,0.6118512153625488,0.8690205216407776,0.47954344749450684
3,0.8101746439933777,0.5304686427116394,0.9100227952003479,0.44879043102264404
4,0.8473803997039795,0.4827378988265991,0.8997722268104553,0.4081304371356964
5,0.8413059711456299,0.4636181890964508,0.8940774202346802,0.39756709337234497
6,0.8769931793212891,0.39989131689071655,0.946469247341156,0.31223440170288086
7,0.8990129232406616,0.3737800121307373,0.9168564677238464,0.3024526536464691
8,0.8845861554145813,0.36984699964523315,0.9134396314620972,0.35984349250793457
9,0.8724373579025269,0.3700791299343109,0.9578587412834167,0.2599981725215912
10,0.885345458984375,0.34960630536079407,0.9293849468231201,0.268973708152771
11,0.9111617207527161,0.2992999851703644,0.9476081728935242,0.252818763256073
12,0.9263477325439453,0.267244428396225,0.9749430418014526,0.18515360355377197
13,0.9187547564506531,0.27022650837898254,0.9601366519927979,0.19557930529117584
14,0.9149582386016846,0.27180084586143494,0.9589977264404297,0.1814582645893097
15,0.9210326671600342,0.2709312438964844,0.9703872203826904,0.17007924616336823
16,0.9362186789512634,0.24416199326515198,0.9738041162490845,0.1596471518278122
17,0.9384965896606445,0.2159777134656906,0.9715262055397034,0.1489236205816269
18,0.9468488693237305,0.1970757693052292,0.9749430418014526,0.14607363939285278
19,0.9483674764633179,0.1882607489824295,0.9783599376678467,0.1254657506942749
20,0.9498860836029053,0.1937478631734848,0.981776773929596,0.11693252623081207
21,0.9627942442893982,0.1606762409210205,0.9829156994819641,0.10907673835754395
22,0.9627942442893982,0.13473612070083618,0.984054684638977,0.11549356579780579
23,0.9529232978820801,0.16803894937038422,0.9703872203826904,0.1254078894853592
24,0.9627942442893982,0.15634490549564362,0.9772209525108337,0.1187426820397377
25,0.9620349407196045,0.14182694256305695,0.9384965896606445,0.19797097146511078
26,0.9574791193008423,0.15495160222053528,0.9749430418014526,0.11814011633396149
27,0.9681093096733093,0.11810622364282608,0.9874715209007263,0.08970510214567184
28,0.9749430418014526,0.09826833754777908,0.9863325953483582,0.0794813483953476
29,0.968868613243103,0.1271490901708603,0.9920273423194885,0.06289978325366974
