,precision,recall,f1-score,support
paper,0.9864406779661017,0.9897959183673469,0.9881154499151105,294.0
rock,1.0,0.9964539007092199,0.9982238010657194,282.0
scissors,0.9900662251655629,0.9900662251655629,0.9900662251655629,302.0
accuracy,0.9920273348519362,0.9920273348519362,0.9920273348519362,0.9920273348519362
macro avg,0.9921689677105548,0.9921053480807099,0.9921351587154642,878.0
weighted avg,0.9920427782711092,0.9920273348519362,0.992033091316145,878.0
