,precision,recall,f1-score,support
paper,0.9896907216494846,0.9795918367346939,0.9846153846153847,294.0
rock,0.9929328621908127,0.9964539007092199,0.9946902654867257,282.0
scissors,0.9868421052631579,0.9933774834437086,0.9900990099009901,302.0
accuracy,0.989749430523918,0.989749430523918,0.989749430523918,0.989749430523918
macro avg,0.9898218963678184,0.9898077402958741,0.9898015533343668,878.0
weighted avg,0.9897522267565276,0.989749430523918,0.989737447533347,878.0
